description,vector
"A young boy discovers he has magical powers in a hidden world, where he must battle dark forces to protect his friends and defeat an ancient evil threatening both worlds.","[0.04130673408508301, 0.05484999716281891, -0.0822603702545166, 0.014626780524849892, 0.006967421155422926, -0.11756981909275055, -0.08255841583013535, 0.005929597653448582, -0.09145550429821014, 2.566680908203125, -0.11993764340877533, -0.06170310080051422, -0.12172424048185349, -0.030925540253520012, -0.06433388590812683, -0.01378643698990345, -0.022071469575166702, 0.7524526715278625, -0.1435023993253708, -0.028140876442193985, 0.07427011430263519, -0.15201030671596527, -0.13028529286384583, 0.011964870616793633, 0.029808053746819496, -0.08112875372171402, 0.02496321313083172, -0.023848997429013252, -0.072664275765419, 0.05251455307006836, -0.13342364132404327, 0.1430174857378006, -0.153371661901474, 0.01822209358215332, 0.1980421096086502, -0.1700648069381714, 0.07014678418636322, -0.03129490837454796, 0.023438502103090286, -0.15735585987567902, 0.06090126186609268, -0.02496310882270336, 0.08717428147792816, -0.15011514723300934, 0.08425319194793701, -0.021312052384018898, -0.06708047538995743, 0.058983612805604935, -4.50783409178257e-05, -0.10582525283098221, 0.01424975786358118, 0.04811565577983856, -0.11956654489040375, 0.06677703559398651, 0.03798145428299904, 0.18927176296710968, -0.02536167949438095, 0.10141696780920029, 0.12269971519708633, -0.02630281262099743, 0.03706768900156021, 0.09424339234828949, 0.04800136014819145, -0.017797693610191345, 0.010136435739696026, 0.04853043705224991, -0.01977883093059063, -0.012987843714654446, 0.035548899322748184, 0.07093677669763565, -0.10876170545816422, -0.00812118873000145, 0.09256400913000107, -0.10317942500114441, -0.05587384104728699, -0.008488843217492104, -0.006444614380598068, -0.1991010308265686, -0.05376274883747101, 0.1292245090007782, -0.09440209716558456, 0.038499198853969574, -0.16144153475761414, 0.08915604650974274, 0.10429380089044571, -0.23167559504508972, -0.14044523239135742, -0.15009580552577972, -0.007907809689640999, 0.01951451785862446, -0.11320801824331284, 0.1217416524887085, -0.07597585022449493, 0.06284453719854355, 0.07178287953138351, -0.10843493789434433, 0.011421818286180496, -0.04158370941877365, -0.11232995986938477, -0.01545284315943718, 0.11935755610466003, 0.1430535763502121, -0.039730560034513474, -0.07896079868078232, -0.03541596978902817, -0.8595788478851318, -0.09572990983724594, 0.1772753894329071, 0.062182504683732986, -0.014244004152715206, 0.14263039827346802, -0.02762044221162796, -0.11321352422237396, -0.11127647757530212, -0.05377689749002457, 0.19448401033878326, 0.049683526158332825, 0.11099687963724136, -0.09744584560394287, -0.06595131754875183, -0.012098182924091816, -0.09827624261379242, 0.140970379114151, -0.034723054617643356, -0.0356745682656765, 0.02837071567773819, -0.0023271525278687477, -0.08469661325216293]"
"In a dystopian future, society is divided into strict social classes. One girl dares to defy the system, sparking a revolution that could change everything, but at a great personal cost.","[-0.02657707966864109, 0.18438927829265594, 0.0019930051639676094, 0.01951264590024948, 0.09568972885608673, -0.026464411988854408, -0.030327240005135536, -0.043228521943092346, -0.0032228671479970217, 2.245802402496338, -0.21918529272079468, 0.010454722680151463, -0.006880788132548332, 0.06560584902763367, -0.0792432427406311, -0.034098342061042786, -0.09195853024721146, 1.1034047603607178, -0.18490929901599884, 0.016301440075039864, -0.06019517406821251, -0.07651060074567795, -0.003888058476150036, -0.026547832414507866, 0.020888442173600197, 0.05601496994495392, 0.010899214074015617, 0.041346121579408646, 0.06821140646934509, -0.024165108799934387, -0.019526245072484016, 0.09020108729600906, 0.002215556800365448, 0.019141893833875656, 0.17285257577896118, -0.06394879519939423, 0.10965581983327866, -0.03492629900574684, -0.02384239062666893, -0.08977506309747696, 0.07855066657066345, 0.15342842042446136, -0.000995496055111289, -0.03152545914053917, 0.020375054329633713, 0.01725710742175579, -0.1465117484331131, -0.03035140037536621, -0.02334935963153839, -0.0643748864531517, -0.06123444065451622, 0.11934433877468109, -0.05941026657819748, 0.07327589392662048, 0.02781086228787899, 0.034655261784791946, 0.05718435347080231, -0.05499102175235748, 0.08363381028175354, -0.07672390341758728, 0.027001164853572845, 0.06313740462064743, 0.045574333518743515, 0.08214113116264343, 0.05253533646464348, -0.059168629348278046, -0.07176139950752258, 0.050626084208488464, -0.005360384006053209, 0.0799579992890358, -0.008959655649960041, -0.06360699981451035, 0.046834781765937805, -0.06267183274030685, 0.013092000968754292, -0.02000078372657299, 0.04350005090236664, -0.10626738518476486, -0.03640874847769737, 0.2728722095489502, -0.09448092430830002, 0.032901495695114136, -0.09559079259634018, -0.026715120300650597, 0.0731244757771492, -0.13078157603740692, -0.13900870084762573, -0.08980527520179749, 0.23551957309246063, 0.0043980637565255165, -0.15525008738040924, 0.07601267099380493, -0.01692960038781166, 0.04177432879805565, -0.013764585368335247, 0.01726149581372738, 0.009596009738743305, 0.08076681196689606, -0.03167889267206192, -0.0013490827986970544, 0.00853675790131092, 0.03528163954615593, -0.12834368646144867, -0.15035668015480042, 0.05263949930667877, -0.9039233326911926, -0.004284643568098545, 0.07203825563192368, -0.05862880498170853, 0.05359238013625145, 0.010081928223371506, -0.11652480065822601, 0.057473745197057724, -0.14326369762420654, -0.09699106216430664, -0.03475078567862511, -0.007820670492947102, -0.036827996373176575, -0.08473343402147293, -0.05419430509209633, -0.01639653742313385, -0.0846979096531868, -0.0008915302460081875, 0.029924048110842705, -0.014145556837320328, 0.1467752903699875, -8.148782944772393e-05, -0.11863235384225845]"
"A group of astronauts journey to a distant planet to investigate a strange anomaly. What they find will challenge their understanding of life, space, and their own humanity.","[0.03629384934902191, 0.10785172134637833, -0.16370271146297455, 0.049182042479515076, 0.05444604903459549, 0.003620089963078499, -0.07091476768255234, 0.03479926660656929, -0.028245732188224792, 2.404548168182373, -0.1651800274848938, -0.059683263301849365, 0.048490047454833984, 0.07182896882295609, -0.09522591531276703, -0.0528937466442585, -0.09399578720331192, 1.0976084470748901, -0.22916768491268158, -0.09091422706842422, 0.06053571775555611, -0.061535511165857315, -0.08100898563861847, 0.019230231642723083, 0.09150782972574234, 0.04354007542133331, 0.08907215297222137, 0.009008524939417839, 0.11040028929710388, 0.059420373290777206, 0.008824008516967297, 0.0595451220870018, -0.08842544257640839, 0.11110449582338333, 0.12078998982906342, -0.10461652278900146, 0.07818468660116196, -0.0269467830657959, -0.019785240292549133, -0.09355732798576355, 0.032193657010793686, -0.005354271270334721, 0.024768192321062088, -0.022150717675685883, 0.03333962708711624, -0.12419666349887848, -0.12689906358718872, 0.04458770155906677, -0.011727684177458286, -0.004477514885365963, 0.016439715400338173, -0.032328080385923386, -0.025869011878967285, -0.0161934532225132, 0.10583805292844772, 0.0532771460711956, -0.04696102440357208, 0.004421212710440159, 0.06529758125543594, -0.014945441856980324, 0.11529140174388885, 0.03360113874077797, 0.001354738138616085, 0.05767781287431717, -0.0013180989772081375, -0.08856388181447983, -0.05433168262243271, 0.05039084330201149, 0.006990562193095684, 0.15685874223709106, 0.0744968131184578, 0.01749080792069435, 0.16302114725112915, -0.06366965174674988, 0.053427450358867645, 0.01721533201634884, 0.0086290892213583, -0.1697992980480194, 2.9090791940689087e-05, 0.15972647070884705, -0.13681191205978394, 0.03323602303862572, -0.12694436311721802, 0.03820805251598358, 0.11110282689332962, -0.30177268385887146, -0.2728559672832489, -0.10394947230815887, 0.20010541379451752, 0.07419787347316742, -0.16886436939239502, 0.11231401562690735, -0.10417605936527252, 0.0697568878531456, -0.043499529361724854, 0.059915315359830856, -0.10634615272283554, -0.02296353131532669, -0.06505387276411057, -0.0035552841145545244, 0.04862699285149574, -0.00395330972969532, 0.0086208526045084, -0.08070925623178482, 0.007102120202034712, -0.9431178569793701, 0.1041533499956131, 0.11509709805250168, 0.07785868644714355, 0.1555984765291214, 0.13130764663219452, -0.02286120504140854, 0.08518140763044357, -0.13497476279735565, 0.049887098371982574, 0.05630355328321457, 0.05466577410697937, 0.06263820081949234, 0.03580702841281891, -0.0019656866788864136, 0.08509408682584763, -0.09370027482509613, -0.01586516574025154, 0.022534705698490143, 0.09186358749866486, 0.01918443664908409, -0.02989412657916546, -0.0359494574368]"
"A young detective unravels a web of mystery and intrigue in a small town, where no one is who they seem. The case pushes him to his limits, testing his intelligence and morals.","[-0.005772726144641638, 0.1527411937713623, -0.10295227915048599, -0.031911011785268784, 0.10199353843927383, -0.01644548587501049, -0.018235431984066963, -0.16034312546253204, 0.04222698137164116, 2.430492877960205, -0.1474786400794983, 0.006324325688183308, 0.027003353461623192, -0.020329061895608902, -0.11091339588165283, -0.10174582898616791, -0.028153274208307266, 0.9169448614120483, -0.06096132844686508, -0.11495724320411682, 0.049554239958524704, -0.10168232023715973, -0.08178441971540451, -0.03836250677704811, 0.12557046115398407, -0.04952898249030113, 0.010553664527833462, 0.02344760112464428, 0.044218555092811584, -0.037783194333314896, -0.03272033855319023, 0.05919245257973671, -0.11894641071557999, 0.02815193496644497, 0.20767323672771454, -0.16873258352279663, 0.04584022983908653, 0.012816171161830425, -0.0369182787835598, -0.13354814052581787, 0.0784049779176712, 0.05314546823501587, 0.0753687173128128, -0.16001500189304352, 0.11113583296537399, -0.02457456663250923, -0.08262767642736435, -0.013210546225309372, 0.016842465847730637, -0.027247445657849312, 0.07629034668207169, 0.039315082132816315, -0.08713509887456894, -0.0030144639313220978, -0.028420567512512207, 0.1080489307641983, 0.052740827202796936, -0.02497994154691696, 0.051705505698919296, -0.09233617037534714, 0.032983481884002686, 0.0808284804224968, 0.04950781539082527, 0.0912054181098938, 0.09147756546735764, -0.11486440151929855, -0.0437154583632946, 0.01071767695248127, 0.015743432566523552, 0.16716215014457703, -0.026190541684627533, 0.018743814900517464, 0.10378097742795944, 0.02752167545258999, -0.02494475618004799, -0.05645088851451874, 0.0387151874601841, -0.12340902537107468, -0.01785784587264061, 0.20399661362171173, -0.09514682739973068, -0.016745656728744507, -0.12373260408639908, -0.0664459764957428, 0.021444866433739662, -0.1448182761669159, -0.07177837193012238, -0.0975557342171669, 0.21883833408355713, 0.07445535063743591, -0.08674442768096924, 0.07373151928186417, -0.07158803194761276, 0.0017502423143014312, 0.12187136709690094, -0.05521523579955101, -0.08204783499240875, -0.03226982057094574, -0.06161985546350479, -0.035167571157217026, 0.014874555170536041, 0.06965663284063339, -0.11069247871637344, -0.032322198152542114, 0.07189245522022247, -0.8427138328552246, -0.007300938945263624, 0.11158360540866852, 0.05282464995980263, 0.0116110322996974, 0.11920212209224701, 0.04667578265070915, 0.0040038409642875195, -0.10190282016992569, -0.028757506981492043, 0.0438472218811512, -0.029153862968087196, -0.04288771003484726, 0.022804470732808113, -0.02491396851837635, 0.08645078539848328, -0.07875144481658936, -0.015522641129791737, -0.015097226947546005, 0.04156683757901192, 0.11551253497600555, -0.07561857998371124, -0.10643752664327621]"
"In a world where technology controls everything, one rebel hacker seeks to expose the truth. As she digs deeper, she uncovers secrets that could destroy everything she knows.","[-0.001052049221470952, 0.16252557933330536, -0.04794668033719063, 0.016636593267321587, 0.046502113342285156, 0.0036192676052451134, -0.11632873862981796, -0.05640089884400368, -0.041380465030670166, 2.361722707748413, -0.15148504078388214, -0.04271099716424942, -0.06738284230232239, -0.03977705165743828, -0.08338160067796707, -0.033426254987716675, -0.06222983077168465, 0.8583138585090637, -0.21331799030303955, -0.019083313643932343, 0.07696337252855301, 0.008262026123702526, -0.0831228494644165, -0.06507395952939987, 0.01893090456724167, 0.0680210292339325, 0.033288829028606415, 0.0401398129761219, -0.013846380636096, -0.019319647923111916, -0.07784603536128998, 0.14210887253284454, -0.07418479770421982, 0.07312875986099243, 0.21491020917892456, -0.10005635023117065, 0.026996614411473274, 0.0776444673538208, 0.0006865006871521473, -0.05479789152741432, 0.038475118577480316, 0.011675499379634857, 0.10422778874635696, -0.15158186852931976, -0.006373310927301645, -0.009216549806296825, -0.0883668065071106, -0.03155956417322159, -0.0304371677339077, -0.05407453328371048, -0.024822592735290527, 0.08008003234863281, -0.14782112836837769, 0.1099274680018425, 0.03273387625813484, 0.014379523694515228, 0.05224534496665001, 0.03263936936855316, 0.18251298367977142, -0.04173668101429939, 0.03163185715675354, 0.01832408644258976, 0.08308281749486923, 0.03562818840146065, 0.04991832375526428, -0.16554740071296692, -0.008165638893842697, 0.0844094380736351, 0.07041774690151215, 0.02397172339260578, -0.06308259814977646, 0.022027570754289627, 0.16102084517478943, -0.044908251613378525, -0.18557630479335785, -0.013200088404119015, -0.03724067285656929, -0.14246223866939545, -0.012624220922589302, 0.15860146284103394, -0.02509162202477455, -0.049751099199056625, -0.1739324927330017, -0.03617240488529205, 0.03634963184595108, -0.2738453149795532, -0.08298435062170029, -0.17831818759441376, 0.12755949795246124, 0.1175021380186081, 0.03597688302397728, 0.0519210547208786, -0.11507376283407211, 0.07947512716054916, 0.12856332957744598, -0.016470711678266525, -0.04434112459421158, -0.03717099875211716, -0.1705627739429474, -0.046924591064453125, 0.099545419216156, 0.07222232222557068, -0.04035985842347145, -0.08918579667806625, 0.056657299399375916, -0.877435028553009, -0.031939975917339325, 0.1439707726240158, -0.11447743326425552, 0.023684989660978317, 0.11824995279312134, 0.04935414344072342, 0.04612687602639198, -0.10234540700912476, -0.06149425357580185, 0.03554300591349602, 0.009835842996835709, 0.0003882930614054203, -0.02934226766228676, -0.20566613972187042, 0.042683832347393036, -0.0812510997056961, 0.05576418712735176, -0.020763207226991653, 0.015312537550926208, 0.04365798830986023, -0.03678702563047409, -0.21702246367931366]"
"A young woman discovers an old journal containing mysterious instructions. As she follows them, she begins to uncover long-forgotten family secrets that change her life forever.","[0.07647403329610825, 0.1724608987569809, -0.2066062092781067, 0.06622347980737686, -0.01915755122900009, 0.025503357872366905, -0.07888331264257431, -0.15975616872310638, -0.034380219876766205, 2.4022700786590576, -0.22013017535209656, 0.10427394509315491, -0.08063485473394394, -0.11896183341741562, -0.04993630573153496, -0.0089111952111125, -0.010734648443758488, 0.9947085380554199, -0.12775824964046478, -0.0210562776774168, 0.06889591366052628, -0.0764562264084816, -0.14279203116893768, 0.05322236195206642, 0.1252666711807251, 0.07198793441057205, 0.07217174768447876, -0.03676130995154381, 0.02955605648458004, -0.023367132991552353, -0.1097089946269989, 0.10941911488771439, -0.029101552441716194, 0.025369707494974136, 0.14869971573352814, -0.024870194494724274, 0.12005563080310822, 0.0018587401136755943, -0.0085914833471179, -0.008172803558409214, 0.08286643773317337, -0.05329415947198868, 0.12293750792741776, -0.16997162997722626, -0.012792974710464478, 0.057771772146224976, -0.08982156962156296, -0.07431431114673615, 0.07437226921319962, -0.047037459909915924, -0.10953480750322342, -0.0373852401971817, -0.12508949637413025, -0.027167392894625664, 0.04135187715291977, 0.09024464339017868, 0.09305061399936676, -0.043211717158555984, 0.07536293566226959, -0.03493930399417877, 0.05369873344898224, 0.004049810115247965, 0.052742380648851395, -0.030368831008672714, -0.008351673372089863, -0.04397600144147873, -0.048018693923950195, 0.09798751026391983, 0.03702168166637421, 0.21726445853710175, -0.04906366392970085, -0.07330042868852615, 0.04849253222346306, -0.03893947973847389, 0.0667068287730217, 0.1298932582139969, 0.046359289437532425, -0.13278670608997345, -0.09013593941926956, 0.014649379067122936, -0.032838936895132065, 0.011418926529586315, -0.3069820702075958, -0.016683144494891167, 0.02878100425004959, -0.278149276971817, 0.07262605428695679, -0.14267782866954803, 0.16669856011867523, 0.17978958785533905, -0.12325245141983032, 0.11275143921375275, -0.09178996831178665, -0.03164495900273323, -0.0108414925634861, -0.06344819813966751, -0.055259741842746735, -0.02602519653737545, -0.09573682397603989, -0.14581456780433655, 0.08763393014669418, 0.030677499249577522, 0.01954512856900692, -0.11904622614383698, -0.02986220270395279, -0.6612693667411804, -0.04680727422237396, 0.1561601758003235, 0.13301333785057068, 0.0032590385526418686, 0.18423256278038025, 0.12260915338993073, 0.0369805209338665, -0.11468630284070969, -0.06971224397420883, -0.02467135712504387, -0.06501893699169159, 0.08295958489179611, -0.005790939088910818, 0.01203215029090643, 0.026443088427186012, -0.12556393444538116, 0.03762732446193695, 0.027262220159173012, 0.009886226616799831, 0.12065901607275009, 0.0007081315270625055, -0.11227575689554214]"
"A group of survivors in a post-apocalyptic world must navigate through harsh conditions, facing both human and environmental threats. Trust and survival are their only weapons in a shattered world.","[-0.10377156734466553, 0.09218152612447739, -0.09596720337867737, 0.06282252073287964, 0.029033027589321136, -0.11880479753017426, -0.015515292063355446, 0.13707900047302246, -0.010789674706757069, 2.3385629653930664, -0.1961720883846283, -0.05694836750626564, -0.00028017759905196726, -0.029942162334918976, -0.1006513386964798, 0.025678088888525963, -0.045329976826906204, 1.1244136095046997, -0.23842167854309082, -0.019226038828492165, -0.04968952015042305, -0.08749198168516159, -0.0016170275630429387, 0.0006673848256468773, 0.07588505744934082, 0.020595569163560867, 0.017649225890636444, 0.06645049154758453, 0.024670381098985672, 0.06087150052189827, -0.039251189678907394, 0.024754201993346214, -0.1084812730550766, -4.5346150727709755e-05, 0.15578164160251617, -0.09418763965368271, 0.08981144428253174, -0.02174408733844757, -0.035949114710092545, -0.026656916365027428, 0.03079729713499546, 0.041228048503398895, 0.04825471714138985, -0.055385421961545944, 0.031816516071558, -0.035771287977695465, -0.17578387260437012, 0.055696625262498856, 0.0411231704056263, -0.0015082316240295768, -0.06647872924804688, 0.05316782742738724, -0.06708657741546631, -0.003953258041292429, -0.07672308385372162, 0.10587332397699356, -0.09691999852657318, -0.0463821142911911, 0.094423308968544, -0.037150997668504715, 0.03393767401576042, 0.09138695150613785, -0.06841371208429337, 0.028621265664696693, 0.027395514771342278, -0.032424356788396835, -0.0563938282430172, 0.016202282160520554, -0.017712034285068512, 0.13126397132873535, -0.018686626106500626, -0.012126284651458263, 0.1363515406847, 0.11870686709880829, 0.04489164799451828, -0.06573890894651413, 0.03446948528289795, -0.11275605112314224, -0.006211515050381422, 0.12809710204601288, -0.09557205438613892, 0.05944237858057022, -0.12762613594532013, 0.01105742622166872, 0.0799381360411644, -0.20859217643737793, -0.27296507358551025, -0.09391503781080246, 0.0649309754371643, 0.05132715776562691, -0.12613369524478912, 0.09021426737308502, -0.04816744104027748, 0.0070479316636919975, 0.04750056564807892, -0.02870412915945053, -0.0014360317727550864, 0.019338015466928482, 0.0157169196754694, -0.07243159413337708, 0.04760025441646576, 0.07544953376054764, -0.08327958732843399, -0.09099313616752625, 0.06609203666448593, -0.9539037346839905, -0.09543775022029877, 0.08870494365692139, -0.0050320071168243885, -0.012292176485061646, 0.1458512544631958, -0.07149628549814224, 0.06281381100416183, -0.15168149769306183, -0.08997537940740585, 0.011141013354063034, 0.11005222797393799, 0.10655821859836578, -0.021827196702361107, -0.07317864894866943, -0.052456509321928024, 0.023250263184309006, 0.07232435792684555, -0.12004319578409195, -0.009107330814003944, 0.04543323814868927, 0.01765517331659794, -0.010656488128006458]"
"Set during the Civil War, this epic novel follows a soldier's journey as he battles both external enemies and his own internal struggles, questioning the cost of war and the meaning of loyalty.","[-0.04927391931414604, 0.09827901422977448, 0.014632461592555046, -0.015085842460393906, -0.0027309060096740723, -0.058698493987321854, -0.042819228023290634, 0.048124734312295914, -0.00048004291602410376, 2.477376937866211, -0.1019492894411087, -0.04638431593775749, 0.06743191182613373, -0.027510864660143852, 0.030119141563773155, -0.017700064927339554, -0.050934597849845886, 0.899887204170227, -0.27479109168052673, -0.02323259226977825, 0.02646077424287796, -0.03906763345003128, -0.047030381858348846, -0.09565572440624237, 0.07603518664836884, -0.001228463021107018, 0.019212085753679276, 0.03744779899716377, -0.0961313247680664, 0.1510956734418869, -0.009232399053871632, 0.1236254945397377, -0.1727037876844406, 0.0751076489686966, 0.08297090232372284, -0.14582662284374237, 0.025836827233433723, -0.05793045833706856, 0.02405107580125332, -0.11693954467773438, 0.043349821120500565, 0.06697019189596176, 0.0742899551987648, -0.060258857905864716, 0.04409698396921158, -0.07915262877941132, -0.13942815363407135, 0.15103089809417725, -0.0033722943626344204, 0.07691659778356552, 0.09095628559589386, 0.0040027424693107605, -0.09767277538776398, 0.05395983159542084, -0.07201909273862839, 0.1487746387720108, -0.0038157927338033915, -0.04591009393334389, 0.07742798328399658, -0.1387929469347, 0.03214440494775772, 0.11911694705486298, 0.05990981310606003, 0.06307767331600189, 0.059832554310560226, -0.01467022392898798, 0.012482580728828907, 0.03197059407830238, -0.027022188529372215, 0.07258936762809753, 0.0012314033228904009, 0.002767422702163458, 0.02221997082233429, -0.01625879667699337, 0.07803124189376831, -0.03917641565203667, 0.030688881874084473, -0.06337075680494308, -0.08086838573217392, 0.12989306449890137, -0.052712175995111465, 0.014751913957297802, 0.008688889443874359, -0.02347477152943611, 0.11525217443704605, -0.13259471952915192, -0.3359106183052063, -0.21971797943115234, 0.11620883643627167, 0.019546037539839745, -0.170197531580925, 0.003511051880195737, -0.06972471624612808, 0.03306642919778824, 0.09539330005645752, -0.12168038636445999, -0.04638439416885376, -0.043128617107868195, -0.046150755137205124, -0.08066200464963913, 0.05775454267859459, -0.01101417001336813, -0.10604813694953918, -0.13065309822559357, -0.03665661811828613, -0.8695058226585388, -0.06624709814786911, 0.19196867942810059, 0.07990078628063202, -0.06086275354027748, -0.05010642483830452, -0.05015324056148529, 0.0901125818490982, -0.07130730152130127, -0.06757806986570358, -0.020856646820902824, -0.011629943735897541, 0.050737228244543076, -0.05082402005791664, 0.007403174880892038, 0.006275208201259375, -0.08135486394166946, -0.05073059722781181, 0.1518222689628601, -0.02100331522524357, 0.05695377662777901, -0.07830970734357834, 0.007278003264218569]"
"An ambitious scientist discovers a way to reverse aging. But his discovery comes with unforeseen consequences, and he must grapple with moral dilemmas that could alter the course of history.","[-0.011677483096718788, 0.09316805005073547, -0.10792028903961182, 0.0006762724951840937, -0.08964482694864273, 0.04295722395181656, -0.08461643010377884, -0.0059176478534936905, 0.002756956033408642, 2.3632802963256836, -0.1918070763349533, 0.02358630858361721, 0.04054206237196922, 0.07428020238876343, -0.041578177362680435, -0.08349975943565369, -0.008866770192980766, 0.9128996133804321, -0.13582947850227356, -0.07384587824344635, -0.010122031904757023, -0.12093611061573029, -0.12400274723768234, -0.0025744533631950617, 0.11913809180259705, 0.051679521799087524, 0.05960095301270485, 0.04467817023396492, -0.05004383996129036, -0.026232104748487473, -0.11450742930173874, 0.13455744087696075, -0.08246655017137527, 0.034366149455308914, 0.16970497369766235, -0.11996769160032272, 0.14656499028205872, -0.0252244770526886, 0.036704957485198975, -0.08169186115264893, 0.08334312587976456, -0.020753661170601845, 0.03600582107901573, -0.08102317154407501, -0.007410671561956406, -0.01400133315473795, -0.13943149149417877, -0.0264542605727911, -0.02028135396540165, -0.025215059518814087, 0.07158195972442627, 0.008183403871953487, -0.01725674420595169, -0.04431144520640373, 0.045620452612638474, 0.07779128849506378, 0.018822818994522095, -0.026313241571187973, 0.02436233125627041, -0.14189109206199646, 0.009011208079755306, 0.05674126744270325, 0.04165404289960861, 0.053876686841249466, 0.028482455760240555, -0.07149936258792877, -0.04218168556690216, 0.013242307119071484, 0.0692010447382927, 0.14618301391601562, -0.05481976270675659, -0.038713641464710236, 0.11291474103927612, 0.03509894013404846, -0.03733783960342407, -0.04218200966715813, -0.034328702837228775, -0.16151748597621918, -0.1491474211215973, 0.1394331455230713, -0.07043593376874924, 0.04242558032274246, -0.08228521794080734, 0.01647220179438591, 0.025985809043049812, -0.30509862303733826, -0.16442252695560455, -0.15755882859230042, 0.10915268212556839, 0.11300763487815857, -0.16076485812664032, 0.04740013927221298, -0.08002150058746338, 0.13323086500167847, -0.021181641146540642, -0.004200529772788286, -0.08017927408218384, -0.03929087147116661, -0.08797740191221237, -0.03244394063949585, -0.05651925131678581, 0.04074586555361748, 0.007186714094132185, -0.09463583678007126, 0.03901485353708267, -1.0757609605789185, -0.09461793303489685, 0.13889287412166595, 0.06874482333660126, -0.0810786560177803, 0.043004848062992096, 0.023623278364539146, 0.005951516330242157, -0.16290849447250366, -0.0799933448433876, -0.03339388594031334, -0.04827753081917763, 0.00467295665293932, 0.07967401295900345, -0.10091157257556915, 0.07439301162958145, -0.14093460142612457, -0.0002048742608167231, 0.08531907200813293, -0.06084106117486954, 0.05487607419490814, -0.058409515768289566, -0.008114447817206383]"
A lonely artist living in a small town starts receiving mysterious letters from an anonymous admirer. The correspondence leads to a surprising and life-changing revelation.,"[0.09866689890623093, 0.15873636305332184, -0.1548169106245041, 0.08215951174497604, 0.04006576910614967, 0.045643895864486694, 0.0046230205334723, -0.12887105345726013, 0.02448613941669464, 2.2501001358032227, -0.1382398009300232, 0.09252988547086716, -0.11118831485509872, -0.13539908826351166, -0.030184514820575714, 0.003177822567522526, -0.04151513800024986, 1.055821180343628, -0.007602546829730272, -0.09092266857624054, -0.014790617860853672, -0.13513854146003723, -0.11697964370250702, 0.12038974463939667, 0.1347641795873642, 0.035064198076725006, 0.04073160141706467, 0.06519483029842377, 0.02228090912103653, 0.06667809188365936, -0.02251616306602955, 0.16527609527111053, -0.20409493148326874, -0.047575145959854126, 0.11527790129184723, -0.01008352730423212, -0.02964368648827076, -0.0589824803173542, 0.018438931554555893, -0.19669075310230255, 0.14011938869953156, 0.11152434349060059, 0.0547034777700901, -0.12956616282463074, -0.0285729318857193, 0.02151980809867382, -0.018565060570836067, 0.017633382230997086, -0.010225139558315277, -0.05019282549619675, -0.03675420954823494, 0.01667078770697117, -0.03410192206501961, -0.058677081018686295, 0.08054247498512268, 0.009022760204970837, 0.04391206428408623, -0.022485515102744102, 0.06797792762517929, -0.09839960932731628, 0.03703434765338898, 0.053270794451236725, 0.015446924604475498, -0.022006405517458916, -0.07331175357103348, -0.05573906749486923, -0.09432602673768997, 0.059138283133506775, -0.04955560341477394, 0.25427159667015076, -0.02579958364367485, -0.008135346695780754, -0.03287195786833763, 0.009872895665466785, -0.005189174320548773, 0.019303694367408752, 0.004247509874403477, -0.1255609542131424, -0.17683695256710052, 0.10550175607204437, 0.04910346865653992, 0.07144864648580551, -0.10872873663902283, -0.008767914026975632, -0.06807903945446014, -0.18344788253307343, -0.07093686610460281, -0.03981896862387657, 0.10853300243616104, -0.06321179121732712, -0.15125726163387299, 0.09808795154094696, -0.09778278321027756, -0.035658642649650574, -0.028444144874811172, -0.013104966841638088, -0.04635436832904816, -0.10821463167667389, -0.01077568344771862, -0.11870293319225311, 0.025160472840070724, -0.0057480172254145145, -0.010093205608427525, -0.06507792323827744, 0.09792803227901459, -0.656004786491394, 0.05494373291730881, 0.15207496285438538, 0.1318865865468979, -0.00199503218755126, 0.17201951146125793, 0.004535412881523371, 0.08290804177522659, -0.10562362521886826, -0.07362259924411774, 0.07520076632499695, -0.13758441805839539, 0.08697433024644852, 0.04037022218108177, 0.038357481360435486, -0.01855785958468914, -0.10050345957279205, -0.010315656661987305, -0.06097310408949852, 0.07012476027011871, 0.021518994122743607, -0.020417604595422745, -0.012718635611236095]"
